Region and State;Total;Inter-governmental;total.1;elementary and secondary education;Higher education;Public Welfare;Health and Hospitals;Highways;Police;all other;Exhibit personal Income (millions);year
Wisconsin;18,22621;0;18,22621;4,0662389;2,0279004;4,3706387;1,2644825;1,5434817;0,63490079;4,3185674;299827;2018
Plains;18,456066;0,00657332;18,449493;4,0898474;1,8775327;3,893047;1,8776052;1,4499414;0,61271194;4,6488074;1107629,8;2018
Iowa;20,39565;0;20,39565;4,3317572;2,4111851;3,9315075;2,9082706;1,8608401;0,53098824;4,4211015;157980,9;2018
Kansas;18,216408;0,00002814;18,21638;4,2053331;2,2697452;2,9795884;2,8489986;1,1387948;0,58665362;4,1872661;149239;2018
Minnesota;19,415104;0,00054906;19,414555;4,1710479;1,7396596;5,278379;1,1138953;1,50888;0,69164792;4,9110452;321638,5;2018
Missouri;16,700385;0,00582138;16,694563;3,6973667;1,326776;3,420507;2,2780814;0,89006467;0,65097803;4,4307894;288385;2018
Nebraska;17,621982;0,05322959;17,568752;4,6045789;2,2950339;2,8358712;1,2064174;1,5963095;0,51811958;4,5124217;101845,6;2018
North Dakota;21,819921;0;21,819921;4,2636108;2,4681109;3,6575704;0,57786716;3,3373577;0,52894526;6,9864584;42291,9;2018
South Dakota;15,642642;0;15,642642;3,4810623;1,722668;2,5648524;0,70304591;2,0833577;0,47329126;4,6143649;46248,9;2018
Southeast;16,997752;0,000008055;16,997744;3,4549581;1,638491;3,4492065;2,0252492;1,0941335;0,6609901;4,6747155;4022275,7;2018
Alabama;19,878513;0;19,878513;3,8245623;2,6422068;3,5485069;3,3539705;1,3833004;0,62809679;4,497869;208752,7;2018
Arkansas;18,77381;0,00014494;18,773665;4,0459127;2,178248;5,2329715;1,2722061;1,5178404;0,5357388;3,9907475;130397,5;2018
Florida;15,098998;0;15,098998;2,7013244;1,0619113;2,6725578;1,4815472;1,0292594;0,81987466;5,3325228;1082702,2;2018
Georgia;15,084441;0;15,084441;4,2015781;1,2822952;2,5725709;1,5153116;0,89090189;0,56901522;4,052768;493575,9;2018
Kentucky;20,889211;0;20,889211;3,9428283;2,3112516;6,2688117;1,8246651;1,1659659;0,42217784;4,9535104;188876,8;2018
Louisiana;20,237034;0;20,237034;3,7094637;1,5503043;5,6856128;1,7125876;1,0304888;0,72496281;5,8236142;215308,7;2018
Mississippi;23,24504;0;23,24504;4,0710951;2,6340466;5,5519889;3,9817118;1,5475586;0,69587886;4,7627599;112837,6;2018
North Carolina;17,632653;0;17,632653;3,2393078;2,2155058;3,1981837;3,1438068;1,2005674;0,70055908;3,9347221;479791,8;2018
South Carolina;19,829618;0;19,829618;4,2342158;2,0207344;3,602711;3,7522159;1,0430916;0,59792732;4,5787216;223256,9;2018
Tennessee;15,361577;0;15,361577;3,1560454;1,1757464;3,7403445;1,6202483;0,77937544;0,64962431;4,2401923;319689,7;2018
Virginia;15,483056;0,0000274;15,483028;3,573255;1,7254355;2,555982;1,6738853;1,1226887;0,52044456;4,3113375;492764,3;2018
West Virginia;21,874012;0;21,874012;4,0405737;2,2123595;6,1689011;1,0296441;1,7775223;0,55267782;6,0923339;74321,6;2018
Southwest;16,618075;0,00218949;16,615885;3,7155894;2,1483514;3,2936478;1,5412796;1,384677;0,61047996;3,92186;2051026,7;2018
Arizona;15,653293;0;15,653293;2,671288;1,9954308;4,7355362;0,49229653;0,83860697;0,75036236;4,1697717;319226,3;2018
New Mexico;25,141265;0;25,141265;4,0875929;3,3056983;7,2783053;2,1514232;1,0992425;0,82109545;6,3979079;87204,6;2018
Oklahoma;16,368986;0,02486082;16,344125;3,3090992;2,1524118;3,7596217;1,3229405;1,4258543;0,58208993;3,7921073;180633,6;2018
Texas;16,35148;0;16,35148;3,9713021;2,1122554;2,6843837;1,7606125;1,5156729;0,57093482;3,7363189;1463962,2;2018
Rocky Mountain;17,489268;0,00549876;17,483769;3,4780911;2,2359615;3,0511485;1,6065895;1,2333148;0,59440402;5,2842599;647600,6;2018
Colorado;16,106714;0,00059279;16,106122;3,2833219;1,9749904;2,9167323;1,0856446;1,0093724;0,59543198;5,240628;335195,8;2018
Idaho;16,215344;0;16,215344;3,0150091;1,5931691;3,5354611;1,3159454;1,3316366;0,59101633;4,833106;77992,6;2018
Montana;19,016732;0;19,016732;3,9285194;1,9128027;4,4380602;1,0823888;1,689773;0,6761768;5,2890112;51117,4;2018
Utah;18,89805;0,000002024;18,898047;3,6653245;3,2498809;2,7557754;2,2594019;1,370381;0,55649599;5,0407877;148240,6;2018
Wyoming;25,358918;0,09590862;25,26301;4,9222119;2,3450628;2,4855652;5,238368;1,9106783;0,63317662;7,727947;35054,2;2018
Far West [2];19,063201;0,08763101;18,97557;3,6228519;1,7251868;4,5049257;2,218274;0,73655119;0,74626119;5,4215191;3349291,7;2018
California;19,438594;0,11657284;19,322022;3,605408;1,7306435;4,8671368;2,2691629;0,63718128;0,79468562;5,4178034;2514503,4;2018
Nevada;15,476537;0,00250384;15,474033;3,1803204;1,0664415;2,8222647;1,0371651;1,3870136;0,89721526;5,0836129;151367,8;2018
Oregon;22,071059;0;22,071059;3,8240233;2,2867712;5,2208553;2,1884402;0,98126719;0,67160417;6,8980978;215365,4;2018
Washington;16,822414;0;16,822414;3,7671133;1,6505078;2,7737903;2,3405815;0,9474314;0,47164725;4,8713429;468055,1;2018
